sequence1,sequence2,max_length,is_duplicate
-1 -1 3 2 2 4 2 3 3 4 2 0 0 1 1 1 1 -1 -1 0 0 0 0 1 1 1 1 3 3 2 2 2 1 1 0 0 1 0 0 0 0 0 4 4 2 4 3 0 4 4 2 1 1 3 1 ,-1 4 4 2 3 3 3 3 3 4 1 1 1 1 0 1 0 0 2 2 2 2 2 2 4 0 3 0 3 1 1 1 3 3 1 1 1 1 0 0 1 1 ,55,1
-1 3 4 2 2 3 3 2 2 1 1 -1 -1 -1 0 0 4 4 1 2 2 2 1 0 0 3 1 0 0 3 3 1 2 2 0 0 4 1 2 1 1 1 3 3 ,-1 3 2 4 4 4 4 2 2 3 3 3 3 3 1 1 4 3 0 0 4 2 4 3 1 0 0 1 1 1 3 2 0 0 4 1 1 1 1 0 0 1 1 3 ,49,1
-1 -1 3 3 3 4 4 3 3 3 4 4 2 0 3 1 1 -1 -1 3 3 1 1 1 2 2 4 1 1 3 0 0 1 4 4 2 2 1 3 1 1 2 3 3 1 1 0 0 1 1 3 ,-1 3 3 3 2 2 4 4 4 2 3 3 3 ,58,1
-1 3 3 2 3 2 2 4 4 4 4 4 3 4 4 2 -1 -1 -1 3 1 1 3 3 3 2 2 1 0 0 0 1 0 0 0 0 1 1 4 2 1 0 1 3 3 1 0 0 3 ,3 3 4 4 4 4 4 2 3 3 3 3 3 3 3 0 0 1 1 1 1 0 1 3 0 0 2 4 4 2 1 0 1 1 1 0 0 0 3 3 0 ,54,1
-1 3 3 2 2 2 4 4 4 2 4 4 3 3 4 4 4 2 3 0 0 1 1 4 4 0 0 0 4 1 2 2 0 1 0 0 4 4 4 0 0 0 1 3 3 4 1 1 0 0 3 3 3 ,4 4 2 2 3 3 3 3 3 0 1 ,53,1
-1 3 2 2 4 4 4 2 3 3 3 4 4 2 2 0 3 1 1 1 -1 -1 0 3 4 1 1 1 3 3 2 1 1 0 1 1 0 0 0 1 1 4 2 2 4 3 4 4 2 2 3 3 4 1 3 3 3 ,2 2 3 2 4 4 4 4 2 2 3 3 3 3 3 0 0 1 4 1 1 1 0 1 1 3 2 4 2 2 1 1 3 0 4 3 3 4 3 3 3 3 0 1 1 1 1 3 1 1 ,57,1
3 2 2 3 3 4 4 4 3 3 3 3 4 4 2 0 4 4 1 -1 -1 -1 -1 0 0 0 1 4 3 3 2 2 1 1 3 0 0 1 0 0 0 0 0 1 1 4 2 1 0 0 0 1 1 3 1 4 3 1 1 3 3 ,-1 3 3 2 4 4 4 4 2 2 3 3 3 3 3 3 0 0 0 0 1 1 0 0 1 0 3 2 2 2 1 0 4 0 0 3 1 1 1 ,61,1
3 3 3 4 2 2 4 2 3 3 3 3 4 2 2 3 0 0 1 0 3 1 1 1 3 3 3 4 3 1 0 3 1 2 1 0 0 1 3 3 1 1 1 1 0 ,-1 3 3 3 2 4 3 3 3 3 3 0 0 0 1 1 1 1 0 ,45,1
-1 -1 3 3 2 2 2 2 4 4 2 4 2 2 3 3 3 4 2 0 0 1 1 1 1 -1 -1 0 0 4 1 1 3 3 2 2 4 0 0 0 0 3 0 0 0 4 2 2 1 0 3 4 2 4 1 0 0 1 1 3 3 ,-1 -1 3 2 4 4 4 ,61,1
3 2 2 4 2 3 3 3 4 2 0 0 3 1 1 1 1 -1 -1 3 0 1 1 1 1 3 2 1 0 0 0 1 1 0 3 1 1 2 1 0 3 1 1 1 1 2 3 1 1 1 3 4 3 3 3 ,3 3 2 2 4 4 4 3 3 3 0 1 1 1 3 1 0 0 2 2 2 4 2 2 1 0 1 0 1 3 4 1 1 ,55,1
-1 -1 2 2 4 4 4 3 4 4 4 4 2 0 0 1 1 -1 0 0 0 4 1 3 3 3 2 2 2 2 4 0 0 0 1 4 2 4 3 1 1 3 1 1 4 3 1 3 ,-1 3 4 4 4 2 3 3 3 3 0 0 1 1 1 4 4 3 1 0 0 0 2 4 2 2 2 0 0 1 0 1 3 0 0 1 1 1 ,52,1
2 2 3 3 2 4 4 2 2 2 3 3 3 4 4 2 0 0 1 1 1 -1 -1 -1 0 0 1 4 1 3 3 2 2 2 1 1 0 0 3 0 2 2 0 0 1 1 4 2 3 1 1 1 1 1 3 ,2 2 3 4 4 4 2 3 3 3 3 3 ,55,1
3 3 2 3 3 2 2 4 4 2 3 3 3 3 4 4 4 3 0 0 1 4 -1 -1 -1 -1 -1 -1 0 0 0 1 1 4 3 2 4 0 0 1 3 3 0 1 4 4 1 0 1 1 4 2 2 3 4 4 3 3 ,4 4 4 2 2 3 3 3 3 3 3 0 1 1 ,58,1
3 3 2 2 4 4 2 4 4 3 3 4 4 4 2 2 3 1 1 1 -1 -1 -1 -1 3 4 1 1 1 1 3 2 2 4 0 0 0 1 1 3 0 0 3 1 1 4 4 1 1 3 3 1 1 2 3 4 1 0 1 3 3 ,-1 3 3 2 4 4 4 4 2 2 3 3 3 3 3 3 3 4 4 4 1 1 0 0 0 2 2 2 ,61,1
-1 -1 3 2 2 4 4 2 4 2 4 2 0 0 0 1 1 -1 -1 -1 0 1 1 4 1 2 2 2 0 4 0 0 0 3 1 4 3 4 4 2 3 1 1 1 0 1 3 3 ,2 3 2 4 4 4 3 3 3 3 3 3 3 0 4 ,49,1
3 3 3 2 4 4 4 4 2 2 4 4 4 3 3 4 4 2 0 1 1 -1 -1 -1 0 0 0 0 1 3 3 2 1 1 0 1 3 0 1 4 2 2 1 0 0 0 4 4 2 1 1 1 1 3 ,-1 3 3 4 4 4 4 4 4 4 3 3 3 3 3 3 3 3 3 3 0 0 0 1 1 1 1 0 0 1 1 0 0 0 0 2 2 2 4 4 0 1 3 1 ,64,1
2 2 2 4 2 4 4 2 4 2 3 0 1 1 1 1 -1 -1 0 0 0 0 1 1 1 4 3 2 4 0 4 0 0 0 1 4 3 0 1 2 2 3 1 1 1 1 3 3 ,-1 3 3 2 2 2 4 4 4 4 2 3 3 3 3 3 3 3 3 3 0 1 1 1 1 1 0 4 0 2 4 2 ,57,1
-1 3 3 2 3 2 4 4 4 4 3 3 3 3 4 4 3 0 1 4 -1 -1 -1 -1 3 3 1 1 3 3 2 0 0 4 3 0 1 2 0 0 4 4 1 1 3 4 3 3 ,-1 3 2 3 3 4 4 3 3 3 3 3 0 0 4 1 4 1 1 0 2 2 4 2 4 4 2 2 4 3 4 0 1 1 0 1 1 1 3 3 0 0 1 ,50,1
3 2 4 2 2 4 2 2 3 3 3 0 3 1 1 1 1 -1 0 1 1 1 1 1 3 2 2 2 4 0 1 1 0 0 0 4 0 0 0 1 1 1 2 1 1 4 0 ,3 3 2 2 4 4 4 4 4 2 3 3 1 1 4 1 1 0 3 2 2 4 4 2 2 1 3 4 ,48,1
3 2 2 2 2 4 4 4 2 2 3 3 3 4 4 4 2 2 0 1 1 1 1 1 -1 -1 -1 -1 0 4 1 1 4 3 3 2 1 0 1 0 0 2 1 1 0 1 1 1 2 3 3 4 1 1 0 1 3 3 3 3 ,-1 3 3 3 2 2 4 4 3 3 3 3 3 ,60,1
2 3 2 4 4 2 3 3 4 4 2 0 0 0 1 1 4 1 1 -1 -1 0 0 0 4 1 3 2 1 0 0 1 1 0 0 0 1 0 0 1 1 1 1 1 3 3 ,3 2 2 4 4 4 4 3 3 3 3 3 0 ,46,1
2 4 4 4 4 3 3 3 3 4 4 4 4 0 3 1 1 -1 -1 -1 0 0 0 1 3 4 0 3 1 0 3 1 1 4 2 2 0 1 1 1 2 2 4 3 ,-1 2 2 4 4 4 4 2 3 3 3 3 3 3 3 3 3 1 1 1 1 4 4 0 0 1 0 0 0 2 2 4 ,59,1
2 3 3 2 2 4 4 2 2 3 3 3 4 4 3 1 1 4 -1 -1 -1 3 0 1 1 1 3 3 3 2 0 0 1 1 0 0 0 0 0 1 1 4 4 0 1 1 2 3 1 1 0 0 1 3 3 ,-1 3 3 2 4 3 3 3 3 3 3 0 1 1 1 1 0 1 0 3 2 1 0 0 1 0 0 1 3 3 3 2 2 3 1 1 1 1 0 ,55,1
3 3 2 2 4 2 2 4 4 2 3 3 4 2 3 0 1 4 4 -1 -1 -1 0 0 1 1 1 1 3 3 2 1 1 0 0 1 3 0 0 0 0 1 2 1 1 0 3 4 1 2 2 3 3 3 ,-1 3 2 2 2 4 4 2 3 3 3 3 3 3 3 3 3 3 0 0 1 1 1 1 1 1 0 0 1 0 0 2 2 2 ,60,1
3 3 2 2 4 4 2 4 4 3 3 4 4 4 2 1 1 -1 -1 3 0 1 1 3 3 3 3 0 4 0 0 1 4 2 2 1 0 0 1 1 1 4 1 1 0 1 1 3 3 3 ,2 2 2 4 2 3 3 3 3 3 3 3 0 0 1 4 1 1 4 0 0 0 4 4 2 2 1 0 0 1 1 3 4 3 1 1 3 3 3 2 3 4 1 ,50,1
-1 -1 3 2 4 4 4 2 4 3 4 2 3 0 1 1 -1 -1 -1 -1 0 0 1 4 3 2 2 2 1 0 0 0 4 0 0 0 0 0 0 1 1 0 0 3 4 1 1 3 1 4 3 4 3 ,-1 -1 3 2 2 3 3 3 3 3 3 0 0 1 1 1 1 1 0 3 4 2 2 1 3 4 0 1 1 1 3 3 2 0 0 1 1 1 3 4 4 3 ,53,1
-1 3 3 3 2 2 4 4 4 2 4 4 2 2 3 3 3 3 4 4 4 2 0 0 3 4 -1 -1 3 1 1 1 2 2 3 0 1 0 0 0 3 1 2 4 0 0 4 4 3 1 1 1 1 3 3 ,2 3 3 2 2 4 3 3 3 3 3 3 3 3 0 1 4 1 0 1 1 3 0 0 2 2 2 0 1 1 0 0 ,55,1
-1 -1 3 3 3 2 4 4 4 4 4 2 3 3 3 4 0 0 1 1 1 1 -1 -1 -1 -1 0 0 4 1 1 1 3 3 3 2 2 2 2 4 1 1 0 0 4 4 2 1 1 0 0 0 1 1 1 4 1 3 1 ,-1 -1 2 2 4 4 4 4 4 3 3 3 3 3 0 0 0 1 1 1 1 1 1 4 0 3 4 4 4 2 4 0 1 1 0 3 0 1 1 3 3 2 3 1 4 0 4 0 ,59,1
3 3 2 3 4 4 4 3 3 4 4 2 2 0 0 0 1 1 -1 -1 -1 0 0 0 1 1 1 2 1 0 0 0 0 4 0 3 0 0 1 1 1 0 0 4 1 1 0 1 3 3 3 3 ,-1 2 2 2 4 4 4 4 3 3 3 ,52,1
-1 -1 3 4 4 4 2 4 4 0 1 -1 -1 -1 0 1 1 3 3 2 2 0 0 0 1 0 3 0 0 1 4 2 1 0 0 1 1 2 3 4 0 4 ,-1 3 3 2 2 4 ,45,1
-1 -1 3 2 2 3 3 4 4 2 2 3 3 4 4 2 3 1 1 1 -1 -1 -1 -1 3 0 1 1 4 3 3 2 1 0 1 1 0 0 0 1 4 4 1 0 0 0 1 1 2 1 1 0 1 3 3 ,-1 -1 3 3 2 2 2 2 4 4 2 3 3 3 3 3 3 3 0 0 0 4 1 1 1 0 0 4 0 0 ,63,1
-1 2 3 3 2 4 2 2 4 4 2 3 3 0 0 0 1 4 1 1 -1 -1 1 1 4 3 2 2 1 0 0 3 1 3 0 1 2 2 1 0 0 0 1 1 1 2 2 3 4 1 3 3 3 ,-1 -1 2 2 2 4 4 4 4 3 3 3 3 0 1 ,53,1
